temperature,humidity,late
0.22829356148491664,0.027062511997752114,1
0.6171588386897905,0.7730910881114867,1
0.6233177726610963,0.18608616791566412,0
0.8218981785646585,0.11098588404578058,0
0.14700586581257802,0.5058728009801584,1
0.5954303746055218,0.23912676819450507,0
0.8069473852697107,0.5491178942833165,1
0.05638535137975398,0.2291367103062667,1
0.6885970781697343,0.9381332431013824,1
0.6441894617874314,0.23292601969177285,0
0.6584503600722533,0.1629830973662182,0
0.6775224116176883,0.9948998529374004,1
0.3842029582333236,0.7469880287266825,0
0.34773453998636294,0.3234337743824458,1
0.5487272521727492,0.20130587264707134,0
0.2361777124751394,0.5139841098761317,0
0.2710944276331477,0.7616541567111402,0
0.22401124532366734,0.9191830460635224,0
0.27199587506499556,0.9265794782886594,0
0.7386458999234532,0.23503117223314507,0
0.6680462338566808,0.640595600776239,0
0.7335815262913702,0.04505896469686377,0
0.433461581951901,0.42236298388846183,0
0.7708363496999723,0.09846968770775277,0
0.8060160151102775,0.433346811754857,0
0.015164048952425846,0.03343051122990881,1
0.8707381925738014,0.3641054044602149,0
0.5216491174633728,0.37219275207634406,0
0.5357926688006465,0.637950227599497,0
0.24140499621478362,0.35722398001855493,1
0.8256597288058579,0.06879512314191771,0
0.6639311593057505,0.6639162652061869,1
0.8725773181785694,0.6735650245527609,1
0.5341403667627068,0.887762801876312,1
0.7491883249890925,0.2506446450779848,0
0.12123450578274919,0.2194625869170621,1
0.8972588157782385,0.09080452326571686,0
0.483963526290891,0.45766328939411327,0
0.6998182378471758,0.819975227161834,1
0.6365062390042489,0.3903519767806777,0
0.10608508688377749,0.047164259703647904,1
0.6549368186648712,0.5004530286702276,0
0.10275803173394227,0.4211381759687176,1
0.7704557295296011,0.08012961289457832,0
0.8590222949363804,0.19540772223864122,0
0.5900413137140305,0.9713968074551259,1
0.5305040633836412,0.4036511169689204,0
0.8348270978121911,0.8518078487501205,1
0.4904694931765,0.26092970648972846,0
0.5629578949967678,0.8606803642170603,1
0.30082436649140554,0.7839275024120628,0
0.20010379258875155,0.4267925605292837,1
0.6059759838196902,0.9806031179565036,1
0.994202748796012,0.8972189185487933,1
0.5876542988795589,0.005610625425062743,1
0.47447257764575046,0.8570857533557027,1
0.5548397862052067,0.35037799631859046,0
0.32493521795680635,0.47982547834970857,0
0.05292022517537187,0.6079829852356038,1
0.36957312417182997,0.45863463860673415,0
0.374709198425771,0.4195612313084207,0
0.7559727189744099,0.599678052727684,1
0.7590471889437171,0.021045536753143024,0
0.7510938672659899,0.10272593933361729,0
0.8652592290907898,0.5004485705031478,1
0.4562727928379644,0.6754660897072103,0
0.9549784794545677,0.8617310229769328,1
0.06767055835238278,0.7245964374589394,0
0.2923996123311492,0.06273738139267859,1
0.5030809971282121,0.6435217355927748,0
0.9057578995526114,0.5573178759021666,1
0.39395455854580985,0.6334221485590422,0
0.2527230796388147,0.10932204197685247,1
0.3169904691012132,0.7376912238928465,0
0.7349699813843483,0.7309306227441128,1
0.2282583305965813,0.8398935996288729,0
0.9977844474680075,0.5904718564174358,1
0.13273080315243824,0.19073111402112797,1
0.14506419537073623,0.9995929172910961,0
0.5489123074243372,0.5107572500749264,0
0.7543731699534912,0.7487765185097442,1
0.39609130878260834,0.03770207401161685,1
0.2284237096924585,0.13932898123114712,1
0.3894740186832042,0.23249784586065658,1
0.6882128483169941,0.7149590668488228,1
0.3929071592196032,0.28847067196114207,1
0.6936943145786959,0.7794198950666842,1
0.9807690975219361,0.5292347218343132,1
0.14699817553999195,0.8206382679097824,0
0.753878610823159,0.2162895812076291,0
0.8662383830862225,0.1314872273747073,0
0.36564603642572446,0.8916609676983017,0
0.25386782807607533,0.2515342732225755,1
0.04590262138603418,0.2902681724275462,1
0.5855596725872589,0.4591476913682363,0
0.4345256599412183,0.8111475977758007,0
0.30347942851472853,0.8685729639178944,0
0.5355937111996704,0.35972825984097834,0
0.6790725766116881,0.5580100247097922,0
0.9995534755944206,0.9685423989538794,1
0.19110191938029197,0.7528471360969926,0
0.3786037795119641,0.6772934440970044,0
0.4246488562094536,0.9620880614675177,1
0.8046146222347392,0.2567525973169045,0
0.8200721191337099,0.7317849215896509,1
0.3456491689743558,0.17201668457394792,1
0.914493585486662,0.23052982554927304,0
0.11343349122179502,0.6919454375074217,0
0.1823715115292699,0.3043107765381723,1
0.9374396358856061,0.5227716873321065,0
0.5382235602568726,0.2009625553704577,0
0.6289045654849559,0.4773493733406403,0
0.0760189728449504,0.952973662724911,0
0.03793614376705734,0.657041929757995,1
0.5474508433418499,0.652769098260157,0
